 GTOC3  Name	    Epoch       a	     e		i	  w	      Node	    M
  N.		    (MJD)      (AU)	   (deg.)    (deg.)	(deg.)	     (deg.)	  (deg.)	
   1   2004 ER21    54200   0.9003290   0.17105522   7.95592   343.23658   357.43143    52.6254060
   2   1995 CR      54200   0.9067360   0.86845445   4.03569   322.39782   342.77208   328.3017003
   3   1992 BF      54200   0.9080026   0.27176608   7.25394   336.42045   315.47182    54.1118590
   4   2002 XY38    54200   0.9096341   0.21765254   2.09641   119.41817   159.63529   141.6151818
   5   1999 AO10    54200   0.9113990   0.11078484   2.62269     7.63927   313.33854   309.5515364
   6   2000 WO107   54200   0.9114029   0.78065556   7.78290   213.58377    69.37362   169.2181562
   7   2006 BA9     54200   0.9125604   0.36599250   8.31532    25.50724   305.97027   269.3288907
   8   2001 HY7     54200   0.9139376   0.41209549   5.20961   211.00626   205.38304    69.2586068
   9   2001 RV17    54200   0.9140581   0.34250016   7.52263     4.35647   154.12079   343.2637171
  10   1989 UQ      54200   0.9152487   0.26483239   1.29152    15.02410   178.29646   189.1719934
  11   2000 LG6     54200   0.9163425   0.11221324   2.83037     7.86510    72.72983   102.1739718
  12   2003 CA4     54200   0.9203666   0.11972460   7.47925   172.94835   139.95566    86.6971188
  13   2004 RX10    54200   0.9204306   0.35114382   5.95860   333.85636   173.89189   186.4545742
  14   2002 EM7     54200   0.9212257   0.36304986   1.54747    57.68560   347.21646   354.1537351
  15   Apophis      54200   0.9222614   0.19105942   3.33131   126.38557   204.45915   307.3630785
  16   2005 TG50    54200   0.9238455   0.13388842   2.42676   199.60593   346.04551    81.9756648
  17   2002 JR100   54200   0.9246750   0.29782641   3.76334   253.42378   203.56730   293.6715722
  18   1992 FE      54200   0.9272536   0.40535098   4.79702    82.42602   311.99260    52.7808967
  19   2000 SZ162   54200   0.9294449   0.16754816   0.89598   131.30472    14.74941   336.3249638
  20   2002 TZ66    54200   0.9300326   0.12059229   8.47831   223.06212    13.13956   135.7560272
  21   2003 YS17    54200   0.9303548   0.31304457   6.52409   134.48180    99.17972   133.8075539
  22   2006 VX2     54200   0.9330736   0.29005873   9.86637   126.40932    47.38582    69.0741375
  23   2005 FN      54200   0.9330778   0.33020963   3.74806   120.83813   177.42092    18.9011538
  24   2002 OA22    54200   0.9359164   0.24295478   6.90562   318.28487   174.41213   205.6768657
  25   1999 AQ10    54200   0.9372750   0.23448424   6.55836   299.49467   327.40416   250.5925532
  26   2000 EW70    54200   0.9376817   0.32110421   5.41918   125.31100   178.31485   188.0399576
  27   2001 CQ36    54200   0.9396849   0.17623802   1.29202   342.49359    31.94641    22.9155357
  28   2001 BA16    54200   0.9403125   0.13737419   5.76859   242.83890   115.61889    42.1907675
  29   2004 QD14    54200   0.9426399   0.33810282   6.25178   109.28368    75.45204    66.0525408
  30   2004 VJ1     54200   0.9437535   0.16446907   1.29373   332.36301   233.53809    75.2928449
  31   2005 VN5     54200   0.9447613   0.23312124   2.08656   115.04505    49.35063   102.6171350
  32   2006 TS7     54200   0.9466118   0.57983607   5.46456   299.72601   225.45909   103.8271836
  33   2001 SQ263   54200   0.9480374   0.49151246   3.95115   262.35980   327.30349    78.6493040
  34   2005 TE49    53652   0.9492487   0.37694757   5.00558   304.93400   195.25531   276.7190717
  35   2006 SF6     54200   0.9493911   0.28039283   5.86507   305.51522   228.16645    43.6895559
  36   2006 RJ1     54200   0.9508113   0.30070707   1.41450   110.28027    93.51404   349.5007972
  37   2004 QA22    54200   0.9508977   0.12172568   0.57414    28.54873   175.15217    55.2451141
  38   2001 TD      54200   0.9541288   0.16608077   9.01107   241.33953    13.21665    68.8170052
